Period,Month,Year,Ngurah Rai Airport,Seaport,Total
2013-01,1,2013,229561,3374,232935
2013-02,2,2013,236971,4897,241868
2013-03,3,2013,247024,5186,252210
2013-04,4,2013,239400,2969,242369
2013-05,5,2013,244874,3098,247972
2013-06,6,2013,275452,215,275667
2013-07,7,2013,297723,155,297878
2013-08,8,2013,309051,168,309219
2013-09,9,2013,305429,200,305629
2013-10,10,2013,266453,109,266562
2013-11,11,2013,296990,10286,307276
2013-12,12,2013,292961,6052,299013
2014-01,1,2014,278685,572,279257
2014-02,2,2014,269367,6428,275795
2014-03,3,2014,268418,8155,276573
2014-04,4,2014,277925,2171,280096
2014-05,5,2014,285965,68,286033
2014-06,6,2014,329654,742,330396
2014-07,7,2014,358907,2159,361066
2014-08,8,2014,336628,135,336763
2014-09,9,2014,352017,2745,354762
2014-10,10,2014,339200,2451,341651
2014-11,11,2014,293858,3018,296876
2014-12,12,2014,341111,6259,347370
2015-01,1,2015,288755,12993,301748
2015-02,2,2015,333072,5919,338991
2015-03,3,2015,294737,10535,305272
2015-04,4,2015,309888,3875,313763
2015-05,5,2015,287141,8832,295973
2015-06,6,2015,357712,1990,359702
2015-07,7,2015,381890,793,382683
2015-08,8,2015,298638,4983,303621
2015-09,9,2015,379397,9663,389060
2015-10,10,2015,366759,2688,369447
2015-11,11,2015,262180,8755,270935
2015-12,12,2015,363780,6860,370640
2016-01,1,2016,343663,6929,350592
2016-02,2,2016,367024,8720,375744
2016-03,3,2016,354778,9335,364113
2016-04,4,2016,367370,13397,380767
2016-05,5,2016,394443,114,394557
2016-06,6,2016,405686,149,405835
2016-07,7,2016,482201,2030,484231
2016-08,8,2016,437929,206,438135
2016-09,9,2016,442304,3412,445716
2016-10,10,2016,423140,9075,432215
2016-11,11,2016,396150,17082,413232
2016-12,12,2016,437946,4854,442800
2017-01,1,2017,452660,8164,460824
2017-02,2,2017,447762,6223,453985
2017-03,3,2017,422757,2742,425499
2017-04,4,2017,474338,3126,477464
2017-05,5,2017,486207,3169,489376
2017-06,6,2017,503617,524,504141
2017-07,7,2017,591812,234,592046
2017-08,8,2017,599827,2057,601884
2017-09,9,2017,550238,282,550520
2017-10,10,2017,462263,2822,465085
2017-11,11,2017,358012,2994,361006
2017-12,12,2017,307321,8588,315909
2018-01,1,2018,345191,12874,358065
2018-02,2,2018,443805,8618,452423
2018-03,3,2018,484846,7832,492678
2018-04,4,2018,516143,634,516777
2018-05,5,2018,526281,2231,528512
2018-06,6,2018,540462,4088,544550
2018-07,7,2018,624337,29,624366
2018-08,8,2018,572027,1739,573766
2018-09,9,2018,555888,15,555903
2018-10,10,2018,515859,2030,517889
2018-11,11,2018,406679,46,406725
2018-12,12,2018,495641,3178,498819
2019-01,1,2019,451708,3862,455570
2019-02,2,2019,436266,1190,437456
2019-03,3,2019,441707,7862,449569
2019-04,4,2019,476104,965,477069
2019-05,5,2019,483928,2674,486602
2019-06,6,2019,549483,33,549516
2019-07,7,2019,604310,13,604323
2019-08,8,2019,602457,3955,606412
2019-09,9,2019,589984,414,590398
2019-10,10,2019,565966,2001,567967
2019-11,11,2019,492904,5021,497925
2019-12,12,2019,544726,7677,552403
2020-01,1,2020,533392,3219,536611
2020-02,2,2020,358929,5710,364639
2020-03,3,2020,166388,1073,167461
2020-04,4,2020,273,106,379
2020-05,5,2020,34,2,36
2020-06,6,2020,10,35,45
2020-07,7,2020,16,0,16
2020-08,8,2020,12,0,12
2020-09,9,2020,8,0,8
2020-10,10,2020,7,56,63
2020-11,11,2020,2,51,53
2020-12,12,2020,127,23,150
2021-01,1,2021,2,8,10
2021-02,2,2021,12,0,12
2021-03,3,2021,3,0,3
2021-04,4,2021,9,0,9
2021-05,5,2021,8,0,8
2021-06,6,2021,1,0,1
2021-07,7,2021,0,0,0
2021-08,8,2021,0,0,0
2021-09,9,2021,0,0,0
2021-10,10,2021,2,0,2
2021-11,11,2021,6,0,6
2021-12,12,2021,0,0,0
2022-01,1,2022,0,3,3
2022-02,2,2022,1293,17,1310
2022-03,3,2022,14617,3,14620
2022-04,4,2022,58315,20,58335
2022-05,5,2022,115553,58,115611
2022-06,6,2022,181545,80,181625
2022-07,7,2022,246442,62,246504
